object,field,label,type,referenceTo,nullable,formula,origin
copado__Git_Repository__c,copado__Pull_Request_Base_URL__c,Pull Request Base URL,string,,True,False,Socle Copado
copado__Git_Repository__c,copado__Source_Format__c,Source Format,picklist,,True,False,Socle Copado
copado__Git_Repository__c,copado__Tag_Base_URL__c,Tag Base URL,string,,True,False,Socle Copado
copado__Git_Repository__c,copado__URI__c,URI,string,,True,False,Socle Copado
copado__Git_Repository__c,copado__Allow_Functions_Git_Cache__c,Allow Functions Git Cache,boolean,,False,False,Socle Copado
copado__Git_Repository__c,copado__Is_repository_connected_via_copa_tunnel__c,Is repository connected via copa tunnel?,picklist,,True,False,Socle Copado
copado__Git_Repository__c,copado__OAuth__c,OAuth,boolean,,False,False,Socle Copado
copado__Git_Repository__c,copado__Enterprise_Hostname__c,GitHub Enterprise Hostname,string,,True,False,Socle Copado
copado__Promotion__c,Id,Record ID,id,,False,False,Salesforce
copado__Promotion__c,OwnerId,Owner ID,Lookup,Group;User,False,False,Salesforce
copado__Promotion__c,IsDeleted,Deleted,boolean,,False,False,Salesforce
copado__Promotion__c,Name,Promotion Name,string,,False,False,Salesforce
copado__Promotion__c,CreatedDate,Created Date,datetime,,False,False,Salesforce
copado__Promotion__c,CreatedById,Created By ID,Lookup,User,False,False,Salesforce
copado__Promotion__c,LastModifiedDate,Last Modified Date,datetime,,False,False,Salesforce
copado__Promotion__c,LastModifiedById,Last Modified By ID,Lookup,User,False,False,Salesforce
copado__Promotion__c,SystemModstamp,System Modstamp,datetime,,False,False,Salesforce
copado__Promotion__c,LastViewedDate,Last Viewed Date,datetime,,True,False,Salesforce
copado__Promotion__c,LastReferencedDate,Last Referenced Date,datetime,,True,False,Salesforce
copado__Promotion__c,copado__Back_Promotion__c,Is Back-Promotion,boolean,,False,False,Socle Copado
copado__Promotion__c,copado__Completed__c,Completed,boolean,,False,False,Socle Copado
copado__Promotion__c,copado__Connection_Behavior__c,Connection Behavior,string,,True,False,Socle Copado
copado__Promotion__c,copado__Create_Full_Permission_Sets_Step__c,Create Full Permission Sets Step,boolean,,False,False,Socle Copado
copado__Promotion__c,copado__Create_Full_Profiles_Step__c,Create Full Profiles Step,boolean,,False,False,Socle Copado
copado__Promotion__c,copado__Destination_Environment__c,Destination Environment,Lookup,copado__Environment__c,True,False,Socle Copado
copado__Promotion__c,copado__Destination_Org_Credential__c,Destination Credential,Lookup,copado__Org__c,True,False,Socle Copado
copado__Promotion__c,copado__Exclude_From_Auto_Resolve__c,Exclude From Auto Resolve,multipicklist,,True,False,Socle Copado
copado__Promotion__c,copado__Last_Deployment_Execution_Id__c,Last Deployment Execution Id,string,,True,False,Socle Copado
copado__Promotion__c,copado__Last_Promotion_Execution_Id__c,Last Promotion Execution Id,string,,True,False,Socle Copado
copado__Promotion__c,copado__Merge_Conflict__c,Merge Conflict,boolean,,False,False,Socle Copado
copado__Promotion__c,copado__Order_by__c,Order User Stories by,string,,True,False,Socle Copado
copado__Promotion__c,copado__Platform__c,Platform,string,,True,True,Socle Copado
copado__Promotion__c,copado__Project__c,Project,Lookup,copado__Project__c,True,False,Socle Copado
copado__Promotion__c,copado__Release__c,Release,Lookup,copado__Release__c,True,False,Socle Copado
copado__Promotion__c,copado__Send_Deployment_Complete_email__c,Notify When Complete,boolean,,False,False,Socle Copado
copado__Promotion__c,copado__Source_Environment__c,Source Environment,Lookup,copado__Environment__c,True,False,Socle Copado
copado__Promotion__c,copado__Source_Org_Credential__c,Source Credential,Lookup,copado__Org__c,True,False,Socle Copado
copado__Promotion__c,copado__Status__c,Status,picklist,,True,False,Socle Copado
copado__Promotion__c,copado__Is_Rolled_Back__c,Is Rolled Back?,boolean,,False,False,Socle Copado
copado__Promotion__c,copado__Override_Destination_Changes__c,Override Destination Changes,boolean,,False,False,Socle Copado
copado__Promotion__c,copado__Pipeline__c,Pipeline,Lookup,copado__Deployment_Flow__c,True,False,Socle Copado
copado__Promotion__c,copado__View_in_Git__c,View in Git,string,,True,True,Socle Copado
copado__Promotion__c,copado__Promotion_Method__c,Promotion Method,picklist,,True,False,Socle Copado
copado__Promotion__c,copado__Pull_Requests_Approved__c,Pull Requests Approved,boolean,,False,False,Socle Copado
copado__Promotion__c,copado__Backend_Bypass__c,Backend Bypass,boolean,,False,False,Socle Copado
copado__Promotion__c,cmcSf__Apex_Test_Level__c,Apex Test Level,picklist,,True,False,Extension Source Format
copado__Promotion__c,cmcSf__Attach_Vlocity_Build_File__c,Attach Vlocity(SFI) Build File,boolean,,False,False,Extension Source Format
copado__Promotion__c,cmcSf__Debug_Mode__c,Debug Mode,boolean,,False,False,Extension Source Format
copado__Promotion__c,cmcSf__Ignore_Deployment_Warnings__c,Ignore Deployment Warnings,boolean,,False,False,Extension Source Format
copado__Promotion__c,cmcSf__Ignore_Rollback_Deployment_Warnings__c,Ignore Rollback Deployment Warnings,boolean,,False,False,Extension Source Format
copado__Promotion__c,cmcSf__Last_Rollback_Execution_Id__c,Last Rollback Execution Id,string,,True,False,Extension Source Format
copado__Promotion__c,cmcSf__Recreate_Promotion_Branch__c,Recreate Promotion Branch,boolean,,False,False,Extension Source Format
copado__Promotion__c,cmcSf__Rollback_Status__c,Rollback Status,picklist,,True,False,Extension Source Format
copado__Promotion__c,cmcSf__Rolled_Back_Date__c,Rolled Back Date,date,,True,False,Extension Source Format
copado__Promotion__c,cmcSf__Validate_Deploy_Request_Id__c,Validate Deploy Request Id,string,,True,False,Extension Source Format
copado__Promoted_User_Story__c,Id,Record ID,id,,False,False,Salesforce
copado__Promoted_User_Story__c,IsDeleted,Deleted,boolean,,False,False,Salesforce
copado__Promoted_User_Story__c,Name,Promoted User Story Name,string,,True,False,Salesforce
copado__Promoted_User_Story__c,CreatedDate,Created Date,datetime,,False,False,Salesforce
copado__Promoted_User_Story__c,CreatedById,Created By ID,Lookup,User,False,False,Salesforce
copado__Promoted_User_Story__c,LastModifiedDate,Last Modified Date,datetime,,False,False,Salesforce
copado__Promoted_User_Story__c,LastModifiedById,Last Modified By ID,Lookup,User,False,False,Salesforce
copado__Promoted_User_Story__c,SystemModstamp,System Modstamp,datetime,,False,False,Salesforce
copado__Promoted_User_Story__c,copado__User_Story__c,User Story,Master-Detail,copado__User_Story__c,False,False,Socle Copado
copado__Promoted_User_Story__c,copado__Promotion__c,Promotion,Master-Detail,copado__Promotion__c,False,False,Socle Copado
copado__Promoted_User_Story__c,copado__Status__c,Active / Outdated,picklist,,True,False,Socle Copado
copado__Deployment__c,Id,Record ID,id,,False,False,Salesforce
copado__Deployment__c,OwnerId,Owner ID,Lookup,Group;User,False,False,Salesforce
copado__Deployment__c,IsDeleted,Deleted,boolean,,False,False,Salesforce
copado__Deployment__c,Name,Deployment Name,string,,True,False,Salesforce
copado__Deployment__c,RecordTypeId,Record Type ID,Lookup,RecordType,True,False,Salesforce
copado__Deployment__c,CreatedDate,Created Date,datetime,,False,False,Salesforce
copado__Deployment__c,CreatedById,Created By ID,Lookup,User,False,False,Salesforce
copado__Deployment__c,LastModifiedDate,Last Modified Date,datetime,,False,False,Salesforce
copado__Deployment__c,LastModifiedById,Last Modified By ID,Lookup,User,False,False,Salesforce
copado__Deployment__c,SystemModstamp,System Modstamp,datetime,,False,False,Salesforce
copado__Deployment__c,LastActivityDate,Last Activity Date,date,,True,False,Salesforce
copado__Deployment__c,LastViewedDate,Last Viewed Date,datetime,,True,False,Salesforce
copado__Deployment__c,LastReferencedDate,Last Referenced Date,datetime,,True,False,Salesforce
copado__Deployment__c,copado__Active__c,Active,boolean,,False,False,Socle Copado
copado__Deployment__c,copado__ApiName__c,Api Name,string,,True,False,Socle Copado
copado__Deployment__c,copado__Attach_Deployment_File__c,Attach Deployment File,boolean,,False,False,Socle Copado
copado__Deployment__c,copado__Build_Task__c,Build Task,Lookup,copado__Build_Task__c,True,False,Socle Copado
copado__Deployment__c,copado__Completed__c,% Completed,percent,,True,True,Socle Copado
copado__Deployment__c,copado__Compliance_Status__c,Compliance Status,string,,True,False,Socle Copado
copado__Deployment__c,copado__Date__c,Date,datetime,,True,False,Socle Copado
copado__Deployment__c,copado__Deployed__c,% Deployed,percent,,True,True,Socle Copado
copado__Deployment__c,copado__Deployment_Completed_email_sent__c,Deployment Completed email sent,boolean,,False,False,Socle Copado
copado__Deployment__c,copado__Deployment_Last_Step__c,Deployment Last Step,string,,True,False,Socle Copado
