child,field,parent,type,nullable,parentCardinality,childCardinality,relationshipName,childRelationshipName,cascadeDelete,restrictedDelete
copado__Artifact__c,copado__Org_Credential__c,copado__Org__c,Lookup,True,0..1,0..N,copado__Org_Credential__r,copado__Artifacts__r,False,False
copado__Artifact__c,copado__Pipeline__c,copado__Deployment_Flow__c,Lookup,True,0..1,0..N,copado__Pipeline__r,copado__Packages__r,False,False
copado__Artifact__c,copado__Target_Dev_Hub_Org__c,copado__Org__c,Lookup,True,0..1,0..N,copado__Target_Dev_Hub_Org__r,copado__packageArtifacts__r,False,True
copado__Artifact_Version__c,copado__Artifact__c,copado__Artifact__c,Master-Detail,False,1,0..N,copado__Artifact__r,copado__Artifact_Versions__r,True,False
copado__Artifact_Version__c,copado__Release__c,copado__Release__c,Lookup,True,0..1,0..N,copado__Release__r,copado__Artifact_Versions__r,False,False
copado__Artifact_Version__c,copado__User_Story__c,copado__User_Story__c,Lookup,True,0..1,0..N,copado__User_Story__r,copado__Bundle_Versions__r,False,False
copado__Artifact_Dependency__c,copado__Dependent_Artifact__c,copado__Artifact__c,Master-Detail,False,1,0..N,copado__Dependent_Artifact__r,copado__Artifact_Dependencies__r,True,False
copado__Artifact_Dependency__c,copado__Depending_Artifact_Version__c,copado__Artifact_Version__c,Lookup,True,0..1,0..N,copado__Depending_Artifact_Version__r,copado__Artifact_Dependencies__r,False,False
copado__Artifact_Dependency__c,copado__Depending_Artifact__c,copado__Artifact__c,Lookup,True,0..1,0..N,copado__Depending_Artifact__r,copado__Artifact_Dependencies1__r,False,False
copado__Installed_Artifact_Version__c,copado__Package_Version__c,copado__Artifact_Version__c,Master-Detail,False,1,0..N,copado__Package_Version__r,copado__Installed_Package_Versions__r,True,False
copado__Installed_Artifact_Version__c,copado__Environment__c,copado__Environment__c,Master-Detail,False,1,0..N,copado__Environment__r,copado__Installed_Package_Versions__r,True,False
copado__Bundled_Story__c,copado__Package_Version__c,copado__Artifact_Version__c,Lookup,True,0..1,0..N,copado__Package_Version__r,copado__Bundled_Stories__r,False,False
copado__Bundled_Story__c,copado__User_Story__c,copado__User_Story__c,Lookup,True,0..1,0..N,copado__User_Story__r,copado__Bundled_Stories__r,False,False
